description,original_price,discount,reviews,ratings,sale,soldout,product_price
Popular 21 Ruched Back Drawstring Cami Dress - Black,"KSh2,500.00",20,1 review,5.00,Sale,Available,"KSh2,500.00"
Askari Eleven Button Flowered Sleeveless Dress D029F - Black Floral,,,1 review,5.00,,Available,"KSh3,650.00"
Aramay Daisy Long Sleeved Maxi Dress - Navy Blue Print,,,2 reviews,3.50,,Available,"KSh5,500.00"
Vivo Ruwa Flounce Sleeve Wrap Jersey Maxi Dress - Mustard,"KSh5,550.00",50,No reviews,0.00,Sale,Available,"KSh5,550.00"
Smash By Kaly Vintage Style Pleated Dress - Black,"KSh3,800.00",58,No reviews,0.00,Sale,Available,"KSh3,800.00"
Salok Hani Bodycon Dress - Pink,"KSh3,750.00",20,No reviews,0.00,Sale,Available,"KSh3,750.00"
Salok Havilah Kira Wrap Dress - Red,"KSh6,500.00",20,No reviews,0.00,Sale,Available,"KSh6,500.00"
Salok Havilah Naya Midi Dress - Maroon print,"KSh4,900.00",20,1 review,5.00,Sale,Available,"KSh4,900.00"
Lizola Rembo Dress - Yellow,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Vivo Neza 3/4 Sleeve Sheath Dress - Purple,,,No reviews,0.00,,Available,"KSh3,750.00"
Vivo Bana Drop Shoulder Cowl Back Bodycon - Burgundy,,,No reviews,0.00,,Available,"KSh4,950.00"
Elsie Glamour Talia Official Dress - Black / Fuchsia,"KSh3,950.00",10,No reviews,0.00,Sale,Available,"KSh3,950.00"
Lizola Jaber Dotted Dress - Blue,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Smash By Kaly Lexus Safari Mini Dress - Yellow,"KSh4,800.00",20,No reviews,0.00,Sale,Available,"KSh4,800.00"
Popular 21 Ruched Spaghetti-Strap Dress - Wine,"KSh2,000.00",20,No reviews,0.00,Sale,Available,"KSh2,000.00"
Popular 21 Short Sleeved Square Neck Dress With Slit - Black,"KSh2,600.00",20,No reviews,0.00,Sale,Available,"KSh2,600.00"
Popular 21 Short-Sleeved Lettice Hem Dress - White,"KSh2,700.00",20,No reviews,0.00,Sale,Available,"KSh2,700.00"
Popular 21 Buttoned V-Neck Dress - Winsome Orchid,"KSh2,600.00",20,No reviews,0.00,Sale,Available,"KSh2,600.00"
Vivo Fasi Cap Sleeve Tent Dress - Royal Blue,,,No reviews,0.00,,Available,"KSh4,750.00"
Vivo Laika Bishop Sleeve Shift Dress - Black,,,No reviews,0.00,,Available,"KSh4,550.00"
Vivo Basic Cap Sleeve Tent Maxi Dress - Orange / Brown Abstract Print,,,No reviews,0.00,,Sold out,"KSh5,550.00"
"Liliadly Rich Aunty Maxi Dress - Black,white & brown",,,1 review,5.00,,Available,"KSh4,500.00"
Vivo Basic Sleeveless Double Layered Bodycon - Teal / White Abstract,,,1 review,5.00,,Available,"KSh3,550.00"
Sidai Fashion Shirt Dress - Green/Blue,"KSh4,000.00",25,No reviews,0.00,Sale,Available,"KSh4,000.00"
