description,original_price,discount,reviews,ratings,sale,soldout,product_price
Safari Mali Turn Up Hem Pants (Pockets) - Hunters Green,"KSh4,550.00",10,No reviews,0.00,Sale,Available,"KSh4,550.00"
Sidai Fashion Shorts Jumpsuit - Olive Green,"KSh3,200.00",30,No reviews,0.00,Sale,Available,"KSh3,200.00"
Hessed Sleeveless Jumpsuits - Black,"KSh3,600.00",22,No reviews,0.00,Sale,Available,"KSh3,600.00"
Hessed Sleeveless Jumpsuits - Grey,"KSh3,600.00",22,No reviews,0.00,Sale,Available,"KSh3,600.00"
Jaidden Trendy Jumpsuit - Red,,,No reviews,0.00,,Available,"KSh5,200.00"
The Fashion Frenzy Flared Pants - Black,,,No reviews,0.00,,Available,"KSh3,500.00"
Zoë Qu'an Honeycomb Trouser - Yellow,,,No reviews,0.00,,Available,"KSh5,950.00"
Vivo Thando Wide Leg Satin Pants -  Black,"KSh4,250.00",50,1 review,3.00,,Sold out,"KSh4,250.00"
Aramay Anvaya Spaghetti Strap Jumpsuit - Black,,,No reviews,0.00,,Available,"KSh5,500.00"
Nika Bonica Chariotte Palazzo Pant - Brown,,,No reviews,0.00,,Available,"KSh3,500.00"
Jaidden Trendy Culotte Jumpsuit - Blue,,,No reviews,0.00,,Available,"KSh5,000.00"
Zola Floral Two Piece - Blue,"KSh3,500.00",15,No reviews,0.00,Sale,Available,"KSh3,500.00"
Safari Mara Shirred Bishop Sleeve Jumpsuit - Black,"KSh6,950.00",10,No reviews,0.00,Sale,Available,"KSh6,950.00"
Purple Earth Special Dyed Sweatpants - Hot Pink,,,No reviews,0.00,,Available,"KSh3,900.00"
Purple Earth Gap Print Sleep Shorts - Pink Striped,,,No reviews,0.00,,Available,"KSh1,900.00"
Zoya Brave Satin Joggers (Regular Length) - Blue / Black Abstract Print,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Sol Dada Balance Earth Shorts - Mustard / Purple Print,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
